Code;Libellé;3LETTRES;Nouvelle Référence GLE;Serialisation;GAMME;CATEGORIE;COLLECTION;NATURE;FAMILLE;Stock;Emplacement stock;Valeur unitaire;Total;Fabricant;Ref. fabricant;Fournisseur;Réf fournisseur;Dépréciation;Code barre;Unité;Poids net;Poids brut;Prix;Prix ttc;Code tva;Taux tva;Catégorie;Sous catégorie;Garantie;Nombre de colis
PB0182A;[102061] PB0182A - Chariot mobile modulable naoCart S1 permettant l'intégration de pc portables ou tablettes. Meuble mobile avec poignées et 4 roues 100 mm multidirectionnelles, dont 2 avec freins, équipé de : - 1 ouverture par trappes coulissantes sécurisées de la partie supérieure - 1 accès à la zone technique par une porte avec fermeture à l'avant et trappe sécurisée à l'arrière du meuble - 1 temporisateur de charge électrique (paramétrage par défaut : 6h) - 1 système de charge centralisée avec interrupteur général M/A avec voyant - 1 prise électrique IEC extérieure avec protection contre les surtensions et filtre antipertubation - 1 cordon alimentation électrique de 5 mètres - système d'aération par convection naturelle (6 ouvertures) - fermetures à clef de chaque zone pour sécurisation des éléments (fournis avec 2 x jeux clés) Dim.meuble Lph : 620x845x1010 mm Poids à vide : 50 kgs Chariot fourni avec aménagement mousse au choix dans zone supérieure Couleur de base : Vert pomme (U630) (autre choix sur demande au service commercial);NAO-;NAO-PB0182A;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NAOCART;EDUCATION;;1;;1127,95;1127,95;;;;;;;;;;1361;1633,2;1;20;;;;
AVERC20I;AVER Chariot de recharge pour 16 PC portable - Design compact et ergonomique  - Charge intelligente avancée - Prises auxiliaires externes - LED de statut de charge;AVE-;AVE-AVERC20I;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;AVER;EDUCATION;;1;;954;954;;;;;;;;;;1097,1;1316,52;1;20;;;;
F4U092BTSGY;Belkin USB-C Multimedia Hub - station d'accueil - HDMI;BEL-;BEL-F4U092BTSGY;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;BELKIN;;;23;C3;37,88;871,24;;;;;;745883708673;;;;99,99;119,988;1;20;;;;
APTASBB400-70;Système Mécanique mural  Hauteur 400-70 poid 41 à 70 Kg;GEN-;GEN-APTASBB400-70;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;;435;870;;;;;;;;;;559;670,8;1;20;;;;
TC2HDMI;VISION TechConnect - Plaque modulaire enclenchable - HDMI;VIS-;VIS-TC2HDMI;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;;;44;K2;14,27;627,88;;;TECH DATA;1643913;;TC2HDMI;;;;16,49;19,788;1;20;Audio/Vidéo;;;
MA200;"Amplificateur mélangeur - Puissance: 200 Watt 100V et impédance de sortie 8 Ohm, 1x entrée jack niveau micro en façade 2 entrées XLR avec priorité thomann à l'arrière, Entrées 2 à 4 XLR niveau micro avec alimentation fantôme commutable 3 entrées ligne Sortie enregistrement 3 niveaux de priorités EQ 2 bandes Sortie 8 Ohm vers 4 enceintes avec interrupteur marche/ arrêt Format rack 19"" - 2U";GEN-;GEN-MA200;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;A1;607,5;607,5;;;;;;1606357704822;;;;720;864;1;20;;;;
CABMDVGA;Cable mini display vers VGA;CAB-;CAB-CABMDVGA;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;45;J2;11,96;538,2;;;;;;SKU015028-W;;;;19;22,8;1;20;;;;
DS-2DE5220IW-AE;Caméra Dôme 2MP zoom 20X 150m IR;HIK-;HIK-DS-2DE5220IW-AE;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HIKVISION;VIDEO;;1;;485,03;485,03;;;;;;;;;;1700;2040;1;20;;;;
LEG036446;JEU PATTES FIXAT.COFF.LARG.300;GEN-;GEN-LEG036446;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;3;C4;146,4;439,2;;;;;;10324506036446500000000;;;;190;228;1;20;;;;
ML300368;MOBILITY LAB KEYBOARD FOR MAC Clavier ultra fin - USB - touches chiclet plates silencieuses - compatible Mac - AZERTY, Français;MOB-;MOB-ML300368;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MOBILITY LAB;;;30;;14,021;420,63;;;;;;;;;;24,96;29,952;1;20;;;;
PAD-R042;kit émetteur S4 infrarouge + écran;GEN-;GEN-PAD-R042;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;E2;416,5;416,5;;;;;;PAD-R042;;;;595;714;1;20;;;;
ADAPTMD;Adaptateur mini display port vers VGA/DVI/HDMI - Noir;CAB-;CAB-ADAPTMD;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;32;J2;11,334;362,69;;;;;;ADAPTMD;;;;29;34,8;1;20;;;;
2061698;Plastron 45x45 USB2.0 B F vers USB A F Amplifié – 0.2m;GEN-;GEN-2061698;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;20;L5;14,85;297;;;NEKLAN;;;3662247182269;;;;19;22,8;1;20;Câbles Audio / Vidéo ;;;
4EH-00002;Microsoft Comfort Mouse 4500 for Business - Souris - optique - 5 boutons - filai;MIC-;MIC-4EH-00002;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MICROSOFT;;;20;B3;10,28;205,6;;;TECH DATA;2151402;;885370249064;;;;15,36;18,432;1;20;Périphériques;;;
ML301884;Mobility Lab Optical Mouse for Mac Souris filaire - ambidextre - capteur optique 1000 dpi - 3 boutons - Mac;MOB-;MOB-ML301884;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MOBILITY LAB;;;30;;5,94;178,2;;;;;;;;;;12,46;14,952;1;20;;;;
ALMCD41;Bloc alimentation NUC;NUC-;NUC-ALMCD41;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NUC;;;11;B2;12,48;137,28;;;;;;65hosspqF52eu;;;;29;34,8;1;20;;;;
TS8GAP1333S;Transcend - DDR3 - 8 Go - SO DIMM 204 broches - 1333 MHz / PC3-10600;TRA-;TRA-TS8GAP1333S;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;TRANSCEND;;;2;C3;66,74;133,48;;;TECH DATA;3359864;;760557822332;;;;87,97;105,564;1;20; Composants;Mémoires;;
RG0264A;[102386] RG0264A - kit ventilateurs. Fourniture et installation en atelier.;GEN-;GEN-RG0264A;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;;102;102;;;;;;;;;;120;144;1;20;;;;
3510B;Eclateur RJ45 Mâle / 2 Femmelles Cat 5e;GEN-;GEN-3510B;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;17;I2;5,83;99,11;;;EDOX;3510B;;3510B;;;;7,61;9,132;1;20;;;;
YL-PSU5V2A1.8M;Alimentation 5v 2A avec câble 1,8m T29/46/48/CP860;GEN-;GEN-YL-PSU5V2A1.8M;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;13;;7,5;97,5;;;;;;;;;;15;18;1;20;;;;
FPMA-D935D;NewStar FPMA-D935D - Kit de montage ( fixation par pince pour bureau, 2 bras art;NEW-;NEW-FPMA-D935D;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NEWSTAR;;;1;A3;97,29;97,29;;;TECH DATA;2097733;;;;;;159,95;191,94;1;20;Audio/Vidéo;;;
TC2SURR1G;VISION TechConnect - Plaque - commande unique;VIS-;VIS-TC2SURR1G;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;;;26;K4;3,7;96,2;;;TECH DATA;1622115;;1622115000004;;;;7,42;8,904;1;20;Audio/Vidéo;;;
2090660;Cordon USB 2.0 A-B M/M amplifié - 10m;CAB-;CAB-2090660;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;7;;13,41;93,87;;;;;;;;;;19;22,8;1;20;;;;
B07BY65;Support mobile pour écran 65 pouces (charge maxi 60kg);GEN-;GEN-B07BY65;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;STOCK;89;89;;;;;;RV200§180521§0002§12;;;;390;468;1;20;;;;
5J.J3A10.001;Support mural Benq;BEN-;BEN-5J.J3A10.001;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;BENQ;;;1;A0;87;87;;;;;;4718755030598;;;;145;174;1;20;;;;
JD-0800FR-2;CHERRY DC 2000 - ensemble clavier et souris filaire - français;CHE-;CHE-JD-0800FR-2;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;CHERRY;;;6;B4;14,06;84,36;;;;;;4025112083310;;;;16,66;19,992;1;20;;;;
MLA22F/A;Magic Keyboard - Français;APP-;APP-MLA22F/A;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;APPLE;;;1;B4;82,82;82,82;;;TECH DATA;3610690;;888462650533;;;;99,17;119,004;1;20; Périphériques ; Claviers, Souris... ;;
PC0359A;"[103342] PC0359A - Surcout pour Module Flexichannel SX 1 specifique tablettes  : étude, plan et fourniture d'une mousse haute densité pré-formée en alvéoles individuelles et guide cordons pour chariot Naocart S1, pour l'accueil de tablettes. AB0703A 12XEMPLACEMENTS 350 X 26 X 300 MM DELL 5400 Hauteur (non tactile) : 19,6 mm (0,77"") | 2. Largeur : 323,05 mm (12,7"") | 3. Profondeur : 216 mm (8,5"")";GEN-;GEN-PC0359A;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;;78,75;78,75;;;;;;;;;;105;126;1;20;;;;
2061879;Cordon HDMI 2.0 - 4Kx2K@60Hz - AWG26 - M/M - 3m;CAB-;CAB-2061879;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;8;;9,755;78,04;;;;;;;;;;24,9;29,88;1;20;;;;
2SR85AA#ABB;HP Spectre USB-C Travel Dock Station d'accueil USB-C VGA, HDMI 10Mb LAN;HEW-;HEW-2SR85AA#ABB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;;;1;B3;75,75;75,75;;;;;;;;;;113,29;135,948;1;20;;;;
PE9999A;[103658] PE9999A - Article spécifique : modification de chariot pour rajout d'une zone technique séparée pour intégration de 12 stations d'accueil usb type C HP (1MK33T#ABB) DIM 200 x 70 x 28 MM;LEN-;LEN-PE9999A;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;LENOVO;;;1;;75;75;;;;;;;;;;110;132;1;20;;;;
UKB-AB10B;rhomb utech® – 10 m câble USB 2.0 Hi-Speed Premium A/B, câble d'imprimante/Câble de connexion, fiche mâle USB A vers fiche USB B, finition de qualité, double blindage pour passgenaue connecteur D: 10m (Meter) - noir;GEN-;GEN-UKB-AB10B;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;6;J3;11,98;71,88;;;;;;B00XHVB9A4;;;;19;22,8;1;20;;;;
2051034;Plastron 45x45 VGA+Jack 3,5mm F>M-10m;GEN-;GEN-2051034;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;3;;23,19;69,57;;;;;;;;;;32,99;39,588;1;20;;;;
MBA1019;MicroBattery 18.5V 3.5A 65W Plug: 4.8*1.7;GEN-;GEN-MBA1019;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;3;B2;22,9;68,7;;;;;;5705965686713;;;;27,48;32,976;1;20;;;;
LEG099671;OBTURATEUR (2 MODULES) GP KHEOPS GP;GEN-;GEN-LEG099671;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;23;K5;2,95;67,85;;;;;;3414970338761;;;;5;6;1;20;;;;
MUYHSMFF;StarTech.com Câble pour séparateur de casque 4 broches de 3,5 mm vers 2 x 3 broches de 3,5 mm - M/F - 2 x Mini Jack Femelle Audio stéréo - 1 x Mini Jack Mâle Audio stéréo - Noir;STA-;STA-MUYHSMFF;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;STARTECH;;;15;B1;4,5;67,5;;;;;;65030843515;;;;8,99;10,788;1;20;;;;
66693;Plastron 45x45 VGA audio + câble de 0,2m;GEN-;GEN-66693;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;4;J1;16,44;65,76;;;;;;66693;;;;20;24;1;20;;;;
TC2BACKBOX1G;VISION TechConnect - Boîtier arrière - commande unique;VIS-;VIS-TC2BACKBOX1G;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;;;37;K5;1,76;65,12;;;TECH DATA;1643922;;1643922000001;;;;5,76;6,912;1;20;Audio/Vidéo;;;
MQ4444V;Boîtier de table en saillie vide 4 plastrons;GEN-;GEN-MQ4444V;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;K1;63,7;63,7;;;;;;MQ4444V;;;;91;109,2;1;20;;;;
EXP40;Module d'extension LCD EXP40 pour T46;YEA-;YEA-EXP40;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;YEALINK;;;1;;63;63;;;;;;;;;;86;103,2;1;20;;;;
MD506Z/A;Apple MagSafe 2 Power Adapter - 85W (MacBook Pro with Retina display);APP-;APP-MD506Z/A;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;APPLE;;;1;B4;62,98;62,98;;;;;;885909611508;;;;70,83;84,996;1;20;;;;
400479234;NavePoint Adjustable Rack Mount Server Shelf Shelves Rail Rails 1U;NAV-;NAV-400479234;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NAVEPOINT;;;2;;30,51;61,02;;;;;;;;;;59;70,8;1;20;;;;
TC2 BACKBOX1G;VISION TECHCONNECT - Boîtier arrière - commande unique;VIS-;VIS-TC2 BACKBOX1G;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;;;28;K5;2,15;60,2;;;;;;1643922000001;;;;2,5;3;1;20;;;;
B01580INY6;Extender HDMI 60 Mètres ESYNiC Extender HD Affichage Longue Distance de Transmission 1080P via Simple Câble Ethernet RJ45 CAT5e CAT6 CAT6a CAT7 Emetteur Récepteur Compatible pour 3D Contrôle Infrarouge IR pour Sky HD Box Freebox PC Blu Ray DVD PS4 Projecteur;GEN-;GEN-B01580INY6;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;K4;29,99;59,98;;;;;;B01580INY6;;;;36;43,2;1;20;;;;
2061796;Cordon HDMI 2.0 - 4Kx2K@60Hz - AWG26 - M/M - 10m;CAB-;CAB-2061796;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;5;;11,345;56,73;;;;;;;;;;34,9;41,88;1;20;;;;
C5SG1000;Cordon RJ45 Cat 5e F/UTP Primacy 10m beige;CAB-;CAB-C5SG1000;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;10;I4;5,5;55;;;;;;C5SG1000;;;;11,02;13,224;1;20;;;;
SDR/256GB;Carte mémoire SDXC UHS-I U3 256 Go;KIN-;KIN-SDR/256GB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;KINGSTON;MEMOIRES;;1;;53,51;53,51;;;;;;740617275933;;;;83,29;99,948;1;20;;;;
RKM114;Synology RKM114 - Kit de rails pour armoire;SYN-;SYN-RKM114;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;SYNOLOGY;;;2;L2;26,6;53,2;;;TECH DATA;2837027;;4711174721740;;;;28;33,6;1;20;Réseaux;;;
30283;DLP ANGL. PLT VAR.BLC 40X20;GEN-;GEN-30283;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;14;K5;3,54;49,56;;;;;;3414971074835;;;;4,43;5,316;1;20;;;;
TM-1200;VISION TECHMOUNT TM-1200 Support pour vidéoprojecteurs, blanc - perche de 1,1m a;VIS-;VIS-TM-1200;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;;;1;;48,37;48,37;;;TECH DATA;1562435;;1562435000004;;;;56,29;67,548;1;20;Audio/Vidéo;;;
CL12UTHWB;Pied pour tablette verrouillable aluminium de haute qualité blanc montable en surface;GEN-;GEN-CL12UTHWB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;B2;45,3;45,3;;;;;;856282004812;;;;95;114;1;20;;;;
TM-TELE;Support plafond pour projecteur;GEN-;GEN-TM-TELE;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;K1;45,08;45,08;;;TECH DATA;2418655;;2418655000005;;;;79;94,8;1;20;;;;
SECUPADDOCK;SecuPaddock - cadenas a clé (noir) (99066KD-BLK);SEC-;SEC-SECUPADDOCK;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;SECUPLUS;;;1;B1;45;45;;;;;;SECUPADDOCK;;;;56,25;67,5;1;20;;;;
MC908-2M;MCL Samar câble d'alimentation - 2 m;MCL-;MCL-MC908-2M;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MCL;;;21;J3;2,11;44,31;;;TECH DATA;1078405;;3700224714192;;;;4,54;5,448;1;20;Composants;;;
CABJACKMM2M;Câble Jack M/M 1M;GEN-;GEN-CABJACKMM2M;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;22;J2;2;44;;;;CABJACKMM2M;;CABJACKMM2M;;;;4;4,8;1;20;;;;
85493;C2G LC-ST 50/125 OM2 Duplex Multimode PVC Fiber Optic Cable (LSZH) - Câble de ré;C2G-;C2G-85493;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;C2G;;;4;K4;10,89;43,56;;;TECH DATA;3058808;;757120854937;;;;12,65;15,18;1;20;Réseaux;;;
2050579;Plastron 45x45 VGA HD15 F>M - 10m;GEN-;GEN-2050579;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;L5;21;42;;;;;;3662247121695;;;;32;38,4;1;20;;;;
UBNTPARA;PARAFOUDRE;GEN-;GEN-UBNTPARA;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;D1;20;40;;;;;;810354021633;;;;40;48;1;20;;;;
4985;Plastron 1 RJ45 45x45 blanc;GEN-;GEN-4985;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;32;K4;1,14;36,48;;;;;;4985;;;;1,56;1,872;1;20;;;;
4980;Boîtier mural 80x80 nu format Legrand;GEN-;GEN-4980;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;18;K5;1,89;34,02;;;;;;4980;;;;2,47;2,964;1;20;;;;
PLASMA-W065BLACK;NewStar PLASMA-W065BLACK - montage mural;NEW-;NEW-PLASMA-W065BLACK;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NEWSTAR;;;1;A4;33,17;33,17;;;;;;8717371443627;;;;49,95;59,94;1;20;;;;
H3C53AA#ABF;HP C2500 Desktop H3C53AA - Hp keyboard combo - AZERTY - Francais;HEW-;HEW-H3C53AA#ABF;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;;;3;;10,97;32,91;;;;;;;;;;16,66;19,992;1;20;;;;
C6ADZ0030V;Cordon RJ45 Cat 6a F/FTP Primacy LSZH 0.3m vert;CAB-;CAB-C6ADZ0030V;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;20;;1,59;31,8;;;;;;;;;;3,12;3,744;1;20;;;;
R1132;Rankie Adaptateur Mini DisplayPort (Thunderbolt) (Mini DP) vers VGA, 1080P Full HD, Noir;GEN-;GEN-R1132;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;5;J2;5,99;29,95;;;;;;X000MHC953;;;;9;10,8;1;20;;;;
4982;cadre mosaïc 45x45 sur 80x80 + vis;GEN-;GEN-4982;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;19;K4;1,49;28,31;;;;;;4982;;;;2,31;2,772;1;20;;;;
C5SG0050;Cordon RJ45 Cat 5e F/UTP Primacy 0.5m beige;CAB-;CAB-C5SG0050;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;35;I4;0,79;27,65;;;;;;C5SG0050;;;;1,52;1,824;1;20;;;;
RG0259A;Prise RJ45 latérale externe;GEN-;GEN-RG0259A;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;;27,2;27,2;;;;;;;;;;32;38,4;1;20;;;;
DE88683;Câble antenne N M > N F 6m LMR195 low loss;GEN-;GEN-DE88683;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;J3;12,6;25,2;;;;;;4043619886838;;;;29,9;35,88;1;20;;;;
BATACERMBWM1;Batterie pour Acer TravelMate 5744;ACE-;ACE-BATACERMBWM1;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;ACER;;;1;;25;25;;;;;;;;;;49;58,8;1;20;;;;
B00M6SXBUA;CSL - 10m Ultra HD 4k HDMI Câble | High Speed par Ethernet | Full HD 1080P / 4K Ultra HD 2160P / 3D / ARC et CEC | Câble Triple Blindage + Blindage Fiche et Contacts;CSL-;CSL-B00M6SXBUA;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;CSL;;;2;J1;12,49;24,98;;;;;;B00M6SXBUA;;;;14,99;17,988;1;20;;;;
MD464ZM/A;Apple Thunderbolt to FireWire Adapter;APP-;APP-MD464ZM/A;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;APPLE;;;1;B4;24,2;24,2;;;TECH DATA;2546258;;4547597800867;;;;29,17;35,004;1;20;Composants;Câbles & Adaptateurs;;
NM-W360BLACK;NewStar NeoMounts NM-W360BLACK - montage mural;NEW-;NEW-NM-W360BLACK;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NEWSTAR;;;1;A4;22,1;22,1;;;;;;8717371444655;;;;37,46;44,952;1;20;;;;
C5CS1B100;Boîte de 100 connecteurs RJ45 STP sans insert;GEN-;GEN-C5CS1B100;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;I3;20,92;20,92;;;;;;C5CS1B100;;;;42;50,4;1;20;;;;
CG-211;Mcl samar - adaptateur video hd-15 (f) - dvi-i (m);MCL-;MCL-CG-211;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MCL;;;5;I1;4,07;20,35;;;;;;3700224717384;;;;8,33;9,996;1;20;;;;
JD-0700FR-2;Ensemble clavier/souris sans fil DW 3000;CHE-;CHE-JD-0700FR-2;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;CHERRY;;;1;B5;20,15;20,15;;;;;;4025112081385;;;;24,99;29,988;1;20;;;;
