Code;Libellé;3LETTRES;Nouvelle Référence GLE;Serialisation;GAMME;CATEGORIE;COLLECTION;NATURE;FAMILLE;Stock;Emplacement stock;Valeur unitaire;Total;Fabricant;Ref. fabricant;Fournisseur;Réf fournisseur;Dépréciation;Code barre;Unité;Poids net;Poids brut;Prix;Prix ttc;Code tva;Taux tva;Catégorie;Sous catégorie;Garantie;Nombre de colis
BX-2504B;"Suza Advance BX-2504B - Boitier externe - 2.5"" - ATA -";ADV-;ADV-BX-2504B;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;ADVANCE;;;1;E2;;0;;;;;;3700104402133;;;;;;1;20;;;;
BOXSTK1AW32SC;Intel compute stick STK1AW32SCR;INT-;INT-BOXSTK1AW32SC;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;INTEL;;;1;SHOWROOM;;0;;;;;;;;;;;;1;20;;;;
B00P6JKACS;Adaptateur Display vers VGA;CAB-;CAB-B00P6JKACS;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;35;K1;;0;;;;;;B00P6JKACS;;;;15;18;1;20;;;;
B006Z5AH3Y;Integral 360 Secure 4 GB USB 2.0 Flash Drive with 256-Bit Encryption Software;INT-;INT-B006Z5AH3Y;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;INTEGRAL;;;1;AMAZON;;0;;;;;;;;;;;;1;20;;;;
AWM20276;E119932-T AWM 20276 80C 30V VW-1 DVI to DVI Dual Link Cable;CAB-;CAB-AWM20276;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;J4;;0;;;;;;AWM20276;;;;;;1;20;;;;
ATXP4EXT;Câble rallonge d'alimentation processeur P4 4 broches ATX12V de 20 cm - M/F;CAB-;CAB-ATXP4EXT;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;A3;;0;;;;;;65030818872;;;;;;1;20;;;;
APTFSBB400;Support Au Sol Pour Les 400 Compatible Avec Les 70'' Et 75'';PRO-;PRO-APTFSBB400;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;PROMOTHEAN;;;2;;;0;;;;;;;;;;179;214,8;1;20;;;;
ABMTS-UST;PROMETHEAN ActivBoard Mount System;PRO-;PRO-ABMTS-UST;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;PROMOTHEAN;;;2;B0;;0;;;;;;;;;;;;1;20;;;;
A3L791B10M-GRY;Belkin cordon de raccordement - 10 m - gris;BEL-;BEL-A3L791B10M-GRY;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;BELKIN;;;2;I3;;0;;;;;;722868188392;;;;;;1;20;;;;
A3L791B05M-GRY;Belkin cordon de raccordement - 5 m - gris;BEL-;BEL-A3L791B05M-GRY;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;BELKIN;;;3;I3;;0;;;;;;722868188354;;;;;;1;20;;;;
A3L791B02M-GRY;Belkin cordon de raccordement - 2 m - gris;BEL-;BEL-A3L791B02M-GRY;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;BELKIN;;;1;I2;;0;;;;;;722868188255;;;;;;1;20;;;;
A3L791B01M-GRY;Belkin cordon de raccordement - 1 m - gris;BEL-;BEL-A3L791B01M-GRY;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;BELKIN;;;3;I2;;0;;;;;;722868188200;;;;;;1;20;;;;
97-512-009;Support VESA arrière;GEN-;GEN-97-512-009;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;B2;;0;;;;97-512-009;;97-512-009;;;;29,17;35,004;1;20;;;;
89G1758A;Câble USB AB Noir High Grade;CAB-;CAB-89G1758A;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;10;I5;;0;;;;;;3578222528642;;;;4,29;5,148;1;20;;;;
88503;Cbl/2M Computer Power EXT cordC13 to C14;CAB-;CAB-88503;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;J3;;0;;;;;;757120885030;;;;8,35;10,02;1;20;Audio/Vidéo/Image ;Câbles Audio / Vidéo ;;
84H321710-022;Slide Rail, 26”, EZ-Mount;GEN-;GEN-84H321710-022;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;L2;;0;;;;;;84H321710-022;;;;;;1;20;;;;
847200;CORDON CAT 5E 4P MOULE STP 2M;CAB-;CAB-847200;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;4;I3;;0;;;;;;3524890084720;;;;;;1;20;;;;
8388100;Vogel's Tilt module S/M;VOG-;VOG-8388100;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VOGELS;;;1;A4;;0;;;;8388100;;8388100;;;;16,67;20,004;1;20;;;;
81683;C2G - Câble USB - USB à 9 broches Type A (M) - Micro-USB Type B 10 broches (M) -;C2G-;C2G-81683;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;C2G;;;5;I1;;0;;;;;;757120816836;;;;10,38;12,456;1;20;;;;
81614;Câble FireWire 800 - FireWire 400 - 2m;CAB-;CAB-81614;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;7;I1;;0;;;TECH DATA;1805863;;A1021-2M;;;;22,81;27,372;1;20;Audio/Vidéo;;;
811598;90M CAT5 CABLE;CAB-;CAB-811598;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;J4;;0;;;;;;811598;;;;;;1;20;;;;
810760;Lot de 2 angles extérieeurs pour moulure;GEN-;GEN-810760;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;6;K3;;0;;;BRICO DEPOT;;;4018475250888;;;;;;1;20;;;;
810759;2 Angles Extérieurs 15x30 Mm;GEN-;GEN-810759;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;K3;;0;;;BRICO DEPOT;;;4018475250864;;;;;;1;20;;;;
810228;Angle Plat 15x30 Mm (4 Pièces);GEN-;GEN-810228;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;4;K3;;0;;;BRICO DEPOT;;;4018475250727;;;;;;1;20;;;;
810183;Angle Intérieur 15x30 Mm (4 Pièces);GEN-;GEN-810183;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;3;K3;;0;;;BRICO DEPOT;;;4018475289062;;;;;;1;20;;;;
80606;C2G Laptop Power Cord - Câble d'alimentation (250 VCA)- 1 m - Moulé - noir - Eur;C2G-;C2G-80606;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;C2G;;;10;J3;;0;;;TECH DATA;2971686;;757120806066;;;;6,98;8,376;1;20;Composants;;;
75690;Accessoire Soluclip - pour goulotte Prog Mosaic clip direct - Blanc;GEN-;GEN-75690;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;K3;;0;;;;;;3245060756901;;;;;;1;20;;;;
737414-001;HP 737414-001 Cable Management Arm 2U DL380P G8;HEW-;HEW-737414-001;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;;;7;L2;;0;;;;;;1P737414-001;;;;;;1;20;;;;
703216-001;Adaptateur mini Display Port vers DP - HP;CAB-;CAB-703216-001;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;4;I2;;0;;;;;;703216-001;;;;20,83;24,996;1;20;;;;
675843-B21;HP - Kit de mise en oeuvre - 4U - pour ProLiant ML310e Gen8, ML310e Gen8 Base, M;HEW-;HEW-675843-B21;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;;;1;L2;;0;;;TECH DATA;2577516;;675843-B21;;;;145;174;1;20;;;;
666986-B21;HP LFF HDD Blank Gen8 Kit;HEW-;HEW-666986-B21;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;;;11;L1;;0;;;ALSO;1759333;;886112093846;;;;10;12;1;20;Accessoires;Serveurs ;;
5502-301;Axis 5502-301 Support poteau pour caméra IP215;AXI-;AXI-5502-301;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;AXIS;;;1;E3;;0;;;;;;7331021026322;;;;;;1;20;;;;
532300;Cordon USB 2.0 AB M/M 5 M STD;CAB-;CAB-532300;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;53;I5;;0;;;;;;3524890532306;;;;;;1;20;;;;
531300;Cordon USB 2.0 TYPE A M/M 5M;CAB-;CAB-531300;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;7;I3;;0;;;;;;3524890531309;;;;;;1;20;;;;
512327-B21/2;HP Common Slot High Efficiency - Alimentation - branchement à chaud;HEW-;HEW-512327-B21/2;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;;;3;L1;;0;;;TECH DATA;1729884;;884420588146;;;;215;258;1;20;;;;
503296-B21;HP - Alimentation - hotPlug  - 80 PLUS Gold - CA 100-240 V - 460 Watt;HEW-;HEW-503296-B21;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;;;2;L1;;0;;;ALSO;1468664;;503296-B21;;;;180;216;1;20;Composants;;;
4SVDVI10-001;Switchview Dvi 4 Port USB KVM Switch USB 2.0 Hub with Audio;AVO-;AVO-4SVDVI10-001;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;AVOCENT;SWITCH;;1;C2;;0;;;;;;4SVDVI10-001;;;;;;1;20;;;;
4984;PLASTRON 1RJ45 22.5 X 45 BLANC;GEN-;GEN-4984;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;7;K4;;0;;;;;;4984;;;;;;1;20;;;;
41931;Câble USB 2.0 type A/A, 0,5m;CAB-;CAB-41931;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;38;I2;;0;;;;;;4002888419314;;;;1,563;1,876;1;20;;;;
35667;Iomega Corporation 35667 NAS Power Supply for PX4-300r;IOM-;IOM-35667;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;IOMEGA;;;1;L1;;0;;;;;;742709356674;;;;;;1;20;;;;
3545411211579;Clips irldiametre 20;GEN-;GEN-3545411211579;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;58;K5;;0;;;;;;;;;;4,35;5,22;1;20;;;;
35232;Câble mini optique 2m;CAB-;CAB-35232;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;K4;;0;;;;35232;;;;;;19;22,8;1;20;;;;
250914;8 boitiers clipsables +3M bande 8mm;GEN-;GEN-250914;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;K5;;0;;;;;;3601652509148;;;;;;1;20;;;;
211820;Adaptateur Usb Wifi N V2 Sagem;GEN-;GEN-211820;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;L2;;0;;;;;;3561292118202;;;;;;1;20;;;;
11673;UGREEN VGA VGA Câble VGA SVGA Mâle vers Mâle 1080P Plaqué Or avec Noyau de Ferrite pour Écran, Moniteur, Projecteur, PC, TV HD, Noir (1 M);CAB-;CAB-11673;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;J3;;0;;;;;;X000AU9LXP;;;;;;1;20;;;;
104191;Cordon BNC 75 ohms - 1 m;CAB-;CAB-104191;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;10;B1;;0;;;;;;3548381041917;;;;5,2;6,24;1;20;;;;
1013459;Alimentation smart Enceinte SMART SBA-V;GEN-;GEN-1013459;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;6;J1;;0;;;;;;1013459;;;;;;1;20;;;;
1007522;Câble USB 5M;CAB-;CAB-1007522;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;18;I2;;0;;;;1007522;;1007522;;;;15;18;1;20;Accessoires;;;
99646;PRISE RJ45 CAT6 FTP 2 MODULES;GEN-;GEN-99646;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;6;K3;;0;;;;;;3245060996468;;;;;;1;20;;;;
96615;Prise 2P+T Legrand Niloé - 16 A - bornes auto - Eclat Legrand;GEN-;GEN-96615;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;3;K3;;0;;;;;;3245060966157;;;;;;1;20;;;;
85532;Barrette de Terre Basse;GEN-;GEN-85532;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;C4;;0;;;;;;3520420855327;;;;6,667;8;1;20;;;;
75631;Angle extérieur 85 à 120° - pour goulotte à clippage direct Prog Mosaic 50x80;GEN-;GEN-75631;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;K3;;0;;;;;;3245060756314;;;;;;1;20;;;;
69731;Prise 2P+T avec éclips de protection Prog Plexo complet saillie Gris - 16 A;GEN-;GEN-69731;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;K5;;0;;;;;;3245060697310;;;;;;1;20;;;;
064690-62;Fiche US femelle coudée 250 V/AC;GEN-;GEN-064690-62;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;79;K2;;0;;;;064690-62;;064690-62;;;;4,5;5,4;1;20;;;;
002.2460 ;Support pour projecteur L4, SILVER GREY 9010, 59 - 93 cm, with universal bracket;GEN-;GEN-002.2460 ;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;A2;;0;;;;;;002.2460;;;;;;1;20;;;;
1304;Coffret cache-bornes - 4 modules - blanc RAL 9010;GEN-;GEN-1304;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;K3;;0;;;;;;3245060013042;;;;;;1;20;;;;
SA400S37/240G;"Kingston SSD A400 - 240GB disque ssd (2.5"", SATA 3)";KIN-;KIN-SA400S37/240G;NUFARTSTKSERIE;MATERIEL;COMPOSANTS;KINGSTON;DD INTERNE;;12;;78,75;945;;;;;;;;;;33,29;39,948;1;20;;;;
CT51264BD160BJ;Crucial 4Go Ram (DDR3L, 1600 MT/s, PC3L-12800;CRU-;CRU-CT51264BD160BJ;NUFARTSTKSTD;MATERIEL;COMPOSANTS;CRUCIAL;MEMOIRES;;13;C3;24,992;324,9;;;;;;649528762498;;;;39;46,8;1;20;;;;
CT2KIT102464BF16;Pack RAM de 8GBX2 DDR3L 1600 MT/s (PC3L-12800) SODIMM 204-Pin;CRU-;CRU-CT2KIT102464BF16;NUFARTSTKSTD;MATERIEL;COMPOSANTS;CRUCIAL;MEMOIRES;;2;D4;95,75;191,5;;;;;;649528754592;;;;129;154,8;1;20;;;;
WD40EFAX;"Western Digital WD Red 4 To SATA 6Gb/s Disque Dur 3,5"" 4 To 256 Mo Serial ATA 6Gb/s - WD40EFAX (bulk)";WES-;WES-WD40EFAX;NUFARTSTKSERIE;MATERIEL;COMPOSANTS;WESTERN DIGITAL;DD INTERNE;;2;;93,97;187,94;;;;;;;;;;124,12;148,944;1;20;;;;
SDSDXXG-032G;Carte Mémoire SDHC Sandisk Extreme Pro 32 Go jusqu'à 95 Mo/s;SAN-;SAN-SDSDXXG-032G;NUFARTSTKSTD;MATERIEL;COMPOSANTS;SANDISK;MEMOIRES;;4;C3;20,97;83,88;;;;;;619659147655;;;;35;42;1;20;;;;
4ZC7A08696;Lenovo TruDDR4 DDR4 8 Go DIMM 288 broches 2666 MHz / PC4-21300;LEN-;LEN-4ZC7A08696;NUFARTSTKSTD;MATERIEL;COMPOSANTS;LENOVO;MEMOIRES;;1;;73,85;73,85;;;;;;;;;;208;249,6;1;20;;;;
ST500LM034;"SEAGATE BARRACUDA PRO 500 GO - Disque dur 2.5"" 500 Go 7200 RPM 128 Mo Serial ATA 6 Gb/s (bulk)";SEA-;SEA-ST500LM034;NUFARTSTKSERIE;MATERIEL;COMPOSANTS;SEAGATE;DD INTERNE;;2;C3;34,63;69,26;;;;;;AR201802190106;;;;55;66;1;20;;;;
CT480BX500SSD1;"SSD Crucial 480 Go 2.5"" 7mm Serial ATA 6Gb/s";CRU-;CRU-CT480BX500SSD1;NUFARTSTKSERIE;MATERIEL;COMPOSANTS;CRUCIAL;DD INTERNE;;1;;44,59;44,59;;;;;;;;;;66,63;79,956;1;20;;;;
CMSX4GX4M1A2400C16;CORSAIR VENGEANCE SO-DIMM DDR4 4 GO 2400 MHZ CL16 RAM DDR4 PC4-19200 - CMSX4GX4M1A2400C16 (garantie 10 ans par Corsair;COR-;COR-CMSX4GX4M1A2400C16;NUFARTSTKSTD;MATERIEL;COMPOSANTS;CORSAIR;MEMOIRES;;1;C2;29,49;29,49;;;;;;;;;;35,79;42,948;1;20;;;;
CT8G3S160BMCEU;Crucial 8Go DDR3 1600 MT/s (PC3-12800) SODIMM 204-Pin Memory for Mac - CT8G3S160BMCEU;CRU-;CRU-CT8G3S160BMCEU;NUFARTSTKSTD;MATERIEL;COMPOSANTS;CRUCIAL;MEMOIRES;;0,5;C3;54,03;27,02;;;;;;649528762344;;;;79;94,8;1;20;;;;
LDLC SSD F7 PLUS 3D NAND 240GB;"LDLC SSD F7 PLUS 3D NAND 240 GB SSD 240 Go NAND 3D TLC 2.5"" 7mm Serial ATA 6Gb/s";LDL-;LDL-LDLC SSD F7 PLUS 3D NAND 240GB;NUFARTSTKSERIE;MATERIEL;COMPOSANTS;LDLC;DD INTERNE;;1;C2;25,05;25,05;;;;;;;;;;35,79;42,948;1;20;;;;
MZ-V7S500BW;SAMSUNG SSD 970 EVO PLUS M.2 PCIE NVME 500 GO SSD 500 Go M.2 NVMe 1.3 - PCIe 3.0 x4 Garantie 5ans;SAM-;SAM-MZ-V7S500BW;NUFARTSTKSERIE;MATERIEL;COMPOSANTS;SAMSUNG;DD INTERNE;;-1;;91,53;0;;;;;;;;;;119,13;142,956;1;20;;;;
90Y8926;146GB 15K 6GBPS SAS 2.5 inch-SFF G2HS Hard Disk Drive;IBM-;IBM-90Y8926;NUFARTSTKSERIE;MATERIEL;COMPOSANTS;IBM;DD INTERNE;;1;L1;;0;;;;;;90Y8926;;;;183,33;219,996;1;20;;;;
454146-B21;HP Midline - Disque dur - 1 To - échangeable à chaud - 3.5*;HEW-;HEW-454146-B21;NUFARTSTKSERIE;MATERIEL;COMPOSANTS;HEWLETT PACKARD;DD INTERNE;;1;L1;;0;;;;;;883585297337;;;;;;1;20;;;;
LEX24B6010;LEXMARK To jaune HC XC2132;LEW-;LEW-LEX24B6010;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ENCRES TONERS;;4;BUREAU COMPTA;42,09;168,36;;;;;;734646498760;;;;90;108;1;20;;;;
LEX24B6011;LEXMARK To bk HC XC2132;LEX;LEXLEX24B6011;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ENCRES TONERS;;4;BUREAU COMPTA;39,8;159,2;;;;;;734646498777;;;;89;106,8;1;20;;;;
LEX24B6009;LEXMARK To magen HC XC2132;LEX-;LEX-LEX24B6009;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ENCRES TONERS;;3;BUREAU COMPTA;42,09;126,27;;;;;;734646498753;;;;90;108;1;20;;;;
LEX24B6008;LEXMARK To cyan HC XC2132;LEX-;LEX-LEX24B6008;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ENCRES TONERS;;3;BUREAU COMPTA;42,09;126,27;;;;;;734646498746;;;;90;108;1;20;;;;
MTBC25B ;Toner, original, cyan, Konica-Minolta Box, 4.500 prints;KON-;KON-MTBC25B ;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ENCRES TONERS;;3;AMAZON;32,6;97,8;;;;;;A0X5453;;;;39,12;39,12;0;;;;;
LEX80C2HCE;LEXMARK Ton HC cyan Cor 802HCE;LEX-;LEX-LEX80C2HCE;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ENCRES TONERS;;1;AMAZON;83,97;83,97;;80C2HCE;OCTANT;LEX80C2HCE;;734646497176;;;;104,96;125,952;1;20;Consommables;;;
A0WG0KJ;Drum Unit, original, cyan, in Konica Minolta Box, 20.000 prints;KON-;KON-A0WG0KJ;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ACCESSOIRES;;1;AMAZON;73;73;;;;;;39281053610;;;;165;198;1;20;;;;
A0WG0EJ;Drum Unit, original, magenta, in Konica Minolta Box, 20.000 prints;KON-;KON-A0WG0EJ;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ACCESSOIRES;;1;AMAZON;73;73;;;;;;39281053597;;;;160;192;1;20;;;;
A0WG03J;Drum Unit, original, black, in Konica Minolta Box, 20.000 prints;KON-;KON-A0WG03J;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ACCESSOIRES;;1;AMAZON;71,7;71,7;;;THS FRANCE;;;39281053634;;;;90;108;1;20;;;;
MTBC25R ;Toner, original, magenta, Konica-Minolta Box, 4.500 prints;KON-;KON-MTBC25R ;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ENCRES TONERS;;2;AMAZON;32,6;65,2;;;;;;A0X5353;;;;39,12;39,12;0;;;;;
MTBC25G ;Toner, original, yellow, Konica-Minolta Box, 4.500 prints;KON-;KON-MTBC25G ;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ENCRES TONERS;;2;AMAZON;32,6;65,2;;;;;;A0X5253;;;;39,12;39,12;0;;;;;
DT+203S;Develop Toner, original, Typ 213K ineo + 203, 253;RIC-;RIC-DT+203S;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;RICOH;ENCRES TONERS;;1;AMAZON;35,9;35,9;;;;;;1PA0D71D2;;;;49;58,8;1;20;;;;
MTBC35B ;Toner, original, cyan, Konica-Minolta Box, 4.500 prints;KON-;KON-MTBC35B ;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ENCRES TONERS;;1;AMAZON;22;22;;;;;;A0X5452;;;;28,2;33,84;1;20;;;;
TN213Y;CARTOUCHE TN213Y JAUNE INEO+203/253;BRO-;BRO-TN213Y;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;BROTHER;ENCRES TONERS;;1;AMAZON;;0;;;;;;1PA0D72D2;;;;135;162;1;20;;;;
TN213M;CARTOUCHE TN213 MAGENTA INEO+203/253;BRO-;BRO-TN213M;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;BROTHER;ENCRES TONERS;;3;AMAZON;;0;;;;;;1PA0D73D2;;;;80;96;1;20;;;;
TN213C;CARTOUCHE TN213 CYAN INEO-203/253;BRO-;BRO-TN213C;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;BROTHER;ENCRES TONERS;;1;AMAZON;;0;;;;;;1PA0D74D2;;;;;;1;20;;;;
TN-120;TONER 240F;BRO-;BRO-TN-120;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;BROTHER;ENCRES TONERS;;5;C3;;0;;;;;;TN-120;;;;149;178,8;1;20;;;;
Q6003A;Toner Magenta 2000p pour HP Color LaserJet 2600n;HEW-;HEW-Q6003A;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;HEWLETT PACKARD;ENCRES TONERS;;1;C3;;0;;;;;;Q6003A;;;;109;130,8;1;20;;;;
DR6000;TAMBOUR BROTHER HL 1240/1250/1270N;BRO-;BRO-DR6000;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;BROTHER;ENCRES TONERS;;1;C4;;0;;;;;;DR6000;;;;136;163,2;1;20;;;;
C540X75G;Lexmark - Collecteur de toner usagé LCCP - pour Lexmark CS310, CS410, CS510, CX4;LEX-;LEX-C540X75G;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ACCESSOIRES;;4;BUREAU COMPTA+C3;;0;;;TECH DATA;1662650;;734646074148;;;;8,42;10,104;1;20;;;;
ATB-C253;Waste Toner Box, kompatibel, FOR USE IN;KON-;KON-ATB-C253;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ACCESSOIRES;;1;AMAZON;;0;;;THS FRANCE;ATB-C253;;4049816001579;;;;30;36;1;20;Consommables;;;
A0XV-1TD;Drum unit DR311;DEV-;DEV-A0XV-1TD;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;DEVELOP;ENCRES TONERS;;1;AMAZON;;0;;;;;;A0XV-1TD;;;;350;420;1;20;;;;
