Product Name;Part;Part Description;Part Type;Labor Tier;Currency;Stock Price;Exchange Price;EEE Code;Substitute Part;Component Group;Serialized Module;Requires Diagnostic
Apple Watch Hermes 38mm;923-00722;Black/Sand, 38mm, Classic Buckle;OTHER; ;EUR;140,83;0;; ; ;N;N
iPhone 5;S4900Z/A;IPHONE 5 FLAT RATE CHARGE EMEA-INT; ; ;EUR;232,5;0;; ; ;N;N
iPhone 5;S4904Z/A;IPHONE 5 NON-REPAIRABLE 16G EMEA-INT; ; ;EUR;232,5;0;; ; ;N;N
iPhone 5;S4906Z/A;IPHONE 5 NON-REPAIRABLE 32G EMEA-INT; ; ;EUR;232,5;0;; ; ;N;N
iPhone 5;S4908Z/A;IPHONE 5 NON-REPAIRABLE 64G EMEA-INT; ; ;EUR;232,5;0;; ; ;N;N
iPhone 5;S4902Z/A;IPHONE 5 REPAIRABLE DAMAGE CHRG EMEA-INT; ; ;EUR;216,22;0;; ; ;N;N
iPhone 5c;S5136Z/A;IPHONE 5C FLAT RATE CHARGE EMEA-INT; ; ;EUR;232,5;0;; ; ;N;N
iPhone 5c;S5138Z/A;IPHONE 5C NON-REPAIRABLE 16G EMEA-INT; ; ;EUR;232,5;0;; ; ;N;N
iPhone 5c;S5139Z/A;IPHONE 5C NON-REPAIRABLE 32G EMEA-INT; ; ;EUR;232,5;0;; ; ;N;N
iPhone 5c;S5188Z/A;IPHONE 5C NON-REPAIRABLE 8G EMEA-INT; ; ;EUR;232,5;0;; ; ;N;N
iPhone 5c;S5137Z/A;IPHONE 5C REPAIRABLE DAMAGE CHG EMEA-INT; ; ;EUR;232,5;0;; ; ;N;N
iPhone 5s;S5125Z/A;IPHONE 5S FLAT RATE CHARGE EMEA-INT; ; ;EUR;232,5;0;; ; ;N;N
iPhone 5s;S5127Z/A;IPHONE 5S NON-REPAIRABLE 16G EMEA-INT; ; ;EUR;424,17;0;; ; ;N;N
iPhone 5s;S5128Z/A;IPHONE 5S NON-REPAIRABLE 32G EMEA-INT; ; ;EUR;465,83;0;; ; ;N;N
iPhone 5s;S5129Z/A;IPHONE 5S NON-REPAIRABLE 64G EMEA-INT; ; ;EUR;632,5;0;; ; ;N;N
iPhone 5s;S5126Z/A;IPHONE 5S REPAIRABLE DAMAGE CHG EMEA-INT; ; ;EUR;232,5;0;; ; ;N;N
iPhone 6;S5354Z/A;IPHONE 6 DISPLAY REPAIR; ; ;EUR;76,03;0;; ; ;N;N
iPhone 6;S5516Z/A;IPHONE 6 DISPLAY WHOLE UNIT REPLACEMENT; ; ;EUR;95,83;0;; ; ;N;N
iPhone 6;S5237Z/A;IPHONE 6 NON-REPAIRABLE 128G EMEA-INT; ; ;EUR;715,83;0;; ; ;N;N
iPhone 6;S5233Z/A;IPHONE 6 NON-REPAIRABLE 16G EMEA-INT; ; ;EUR;532,5;0;; ; ;N;N
iPhone 6;S5235Z/A;IPHONE 6 NON-REPAIRABLE 64G EMEA-INT; ; ;EUR;624,17;0;; ; ;N;N
iPhone 6 Plus;S5227Z/A;IPHONE 6 PLUS NON-REPAIRABLE 128G EMEA; ; ;EUR;807,5;0;; ; ;N;N
iPhone 6 Plus;S5223Z/A;IPHONE 6 PLUS NON-REPAIRABLE 16G EMEA; ; ;EUR;624,17;0;; ; ;N;N
iPhone 6 Plus;S5225Z/A;IPHONE 6 PLUS NON-REPAIRABLE 64G EMEA; ; ;EUR;715,83;0;; ; ;N;N
iPhone 6;S5229Z/A;IPHONE 6/6S FLAT RATE CHARGE EMEA-INT; ; ;EUR;257,5;0;; ; ;N;N
iPhone 6s;S5229Z/A;IPHONE 6/6S FLAT RATE CHARGE EMEA-INT; ; ;EUR;257,5;0;; ; ;N;N
iPhone 6;S5231Z/A;iPhone 6/6s Repairable Damage Charge - EMEA; ; ;EUR;257,5;0;; ; ;N;N
iPhone 6s;S5231Z/A;iPhone 6/6s Repairable Damage Charge - EMEA; ; ;EUR;257,5;0;; ; ;N;N
iPhone 6 Plus;S5219Z/A;IPHONE 6+/6S+ FLAT RATE CHARGE EMEA-INT; ; ;EUR;282,5;0;; ; ;N;N
iPhone 6s Plus;S5219Z/A;IPHONE 6+/6S+ FLAT RATE CHARGE EMEA-INT; ; ;EUR;282,5;0;; ; ;N;N
iPhone 6 Plus;S5221Z/A;IPHONE 6+/6S+ REPAIRABLE DAMAGE CHG EMEA; ; ;EUR;282,5;0;; ; ;N;N
iPhone 6s Plus;S5221Z/A;IPHONE 6+/6S+ REPAIRABLE DAMAGE CHG EMEA; ; ;EUR;282,5;0;; ; ;N;N
iPhone 6s;S5619Z/A;IPHONE 6S 128G NON-REPAIRABLE; ; ;EUR;807,5;0;; ; ;N;N
iPhone 6s;S5615Z/A;IPHONE 6S 16G NON-REPAIRABLE; ; ;EUR;624,17;0;; ; ;N;N
iPhone 6s;S5617Z/A;IPHONE 6S 64G NON-REPAIRABLE; ; ;EUR;715,83;0;; ; ;N;N
iPhone 6s;S5604Z/A;IPHONE 6S DISPLAY REPAIR-INT; ; ;EUR;89,26;0;; ; ;N;N
iPhone 6s Plus;S5613Z/A;IPHONE 6S PLUS 128G NON-REPAIRABLE; ; ;EUR;899,17;0;; ; ;N;N
iPhone 6s Plus;S5609Z/A;IPHONE 6S PLUS 16G NON-REPAIRABLE; ; ;EUR;715,83;0;; ; ;N;N
iPhone 6s Plus;S5611Z/A;IPHONE 6S PLUS 64G NON-REPAIRABLE; ; ;EUR;807,5;0;; ; ;N;N
iPhone 6s Plus;S5606Z/A;IPHONE 6S PLUS DISPLAY REPAIR; ; ;EUR;102,48;0;; ; ;N;N
iPhone 6s Plus;S5607Z/A;IPHONE 6S PLUS DISPLAY WU REPLACEMENT; ; ;EUR;102,48;0;; ; ;N;N
iPhone 6s Plus;S5599Z/A;IPHONE 6S PLUS TIER 4 MODULE RPLCMNT CHG; ; ;EUR;102,48;0;; ; ;N;N
iPhone 5;S4145Z/A;IPHONE BATTERY RPLCMNT CHARGE-EMEA-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 5c;S4145Z/A;IPHONE BATTERY RPLCMNT CHARGE-EMEA-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 5s;S4145Z/A;IPHONE BATTERY RPLCMNT CHARGE-EMEA-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 6;S4145Z/A;IPHONE BATTERY RPLCMNT CHARGE-EMEA-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 6 Plus;S4145Z/A;IPHONE BATTERY RPLCMNT CHARGE-EMEA-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 6s;S4145Z/A;IPHONE BATTERY RPLCMNT CHARGE-EMEA-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 6s Plus;S4145Z/A;IPHONE BATTERY RPLCMNT CHARGE-EMEA-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 5;S5355Z/A;IPHONE DISPLAY REPAIR; ; ;EUR;89,26;0;; ; ;N;N
iPhone 5c;S5355Z/A;IPHONE DISPLAY REPAIR; ; ;EUR;89,26;0;; ; ;N;N
iPhone 5s;S5355Z/A;IPHONE DISPLAY REPAIR; ; ;EUR;89,26;0;; ; ;N;N
iPhone 6 Plus;S5355Z/A;IPHONE DISPLAY REPAIR; ; ;EUR;89,26;0;; ; ;N;N
iPhone 5;S5517Z/A;IPHONE DISPLAY WHOLE UNIT REPLACEMENT; ; ; ;;;; ; ;N;N
iPhone 5c;S5517Z/A;IPHONE DISPLAY WHOLE UNIT REPLACEMENT; ; ; ;;;; ; ;N;N
iPhone 5s;S5517Z/A;IPHONE DISPLAY WHOLE UNIT REPLACEMENT; ; ; ;;;; ; ;N;N
iPhone 6 Plus;S5517Z/A;IPHONE DISPLAY WHOLE UNIT REPLACEMENT; ; ; ;;;; ; ;N;N
iPhone 6s;S5517Z/A;IPHONE DISPLAY WHOLE UNIT REPLACEMENT; ; ; ;;;; ; ;N;N
iPhone 5;S4144Z/A;IPHONE TIER 1 BATTERY RPLCMNT CHARGE-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 5c;S4144Z/A;IPHONE TIER 1 BATTERY RPLCMNT CHARGE-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 5s;S4144Z/A;IPHONE TIER 1 BATTERY RPLCMNT CHARGE-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 6;S4144Z/A;IPHONE TIER 1 BATTERY RPLCMNT CHARGE-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 6 Plus;S4144Z/A;IPHONE TIER 1 BATTERY RPLCMNT CHARGE-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 6s;S4144Z/A;IPHONE TIER 1 BATTERY RPLCMNT CHARGE-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 6s Plus;S4144Z/A;IPHONE TIER 1 BATTERY RPLCMNT CHARGE-INT; ; ;EUR;65,83;0;; ; ;N;N
iPhone 5;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 5c;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 5s;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 6;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 6 Plus;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 6s;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 6s Plus;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 5;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 5c;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 5s;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 6;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 6 Plus;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 6s;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 6s Plus;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 5;S4968Z/A;IPHONE TIER 4 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;89,26;0;; ; ;N;N
iPhone 5c;S4968Z/A;IPHONE TIER 4 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;89,26;0;; ; ;N;N
iPhone 5s;S4968Z/A;IPHONE TIER 4 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;89,26;0;; ; ;N;N
iPhone 6 Plus;S4968Z/A;IPHONE TIER 4 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;89,26;0;; ; ;N;N
iPhone 6s;S4968Z/A;IPHONE TIER 4 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;89,26;0;; ; ;N;N
iPhone 5;S5180Z/A;REPAIR CHARGE,FLAT RATE,IPHONE 5,SWB-INT; ; ;EUR;230,58;0;; ; ;N;N
iPhone 5;S5185Z/A;REPAIR CHARGE,TIER 2,IPHONE 5,SWB QP VAT; ; ;EUR;230,58;0;; ; ;N;N
Beatbox Portable (2nd generation);S5275Z/A;ROR FLAT RATE,BEATS,BEATBOX PORTABLE; ; ;EUR;141,75;0;; ; ;N;N
Beatbox Portable (3rd generation);S5275Z/A;ROR FLAT RATE,BEATS,BEATBOX PORTABLE; ; ;EUR;141,75;0;; ; ;N;N
Executive;S5270Z/A;ROR FLAT RATE,BEATS,EXECUTIVE; ; ;EUR;156,75;0;; ; ;N;N
Mixr;S5267Z/A;ROR FLAT RATE,BEATS,MIXR; ; ;EUR;101,25;0;; ; ;N;N
Beats Pill 2.0;S5276Z/A;ROR FLAT RATE,BEATS,PILL; ; ;EUR;78,75;0;; ; ;N;N
PILL 2.0, MCM;S5276Z/A;ROR FLAT RATE,BEATS,PILL; ; ;EUR;78,75;0;; ; ;N;N
Pill 1.0;S5276Z/A;ROR FLAT RATE,BEATS,PILL; ; ;EUR;78,75;0;; ; ;N;N
Pill 2.0;S5276Z/A;ROR FLAT RATE,BEATS,PILL; ; ;EUR;78,75;0;; ; ;N;N
Pill XL;S5277Z/A;ROR FLAT RATE,BEATS,PILL XL; ; ;EUR;141,75;0;; ; ;N;N
PRO,FENDI,BLACK;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,BLUE CYAN;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,RED FIRE;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,TRUE BLUE;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,WHITE;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,YELLOW SUNFLOWER;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
Pro;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
Solo (1st generation);S5268Z/A;ROR FLAT RATE,BEATS,SOLO; ; ;EUR;78,75;0;; ; ;N;N
Solo 2;S5268Z/A;ROR FLAT RATE,BEATS,SOLO; ; ;EUR;78,75;0;; ; ;N;N
Solo HD;S5268Z/A;ROR FLAT RATE,BEATS,SOLO; ; ;EUR;78,75;0;; ; ;N;N
Studio (1st generation);S5271Z/A;ROR FLAT RATE,BEATS,STUDIO 1/2; ; ;EUR;119,25;0;; ; ;N;N
Studio (2nd Generation);S5271Z/A;ROR FLAT RATE,BEATS,STUDIO 1/2; ; ;EUR;119,25;0;; ; ;N;N
Studio (2nd generation);S5271Z/A;ROR FLAT RATE,BEATS,STUDIO 1/2; ; ;EUR;119,25;0;; ; ;N;N
Studio Wireless;S5273Z/A;ROR FLAT RATE,BEATS,STUDIO 2 WIRELESS; ; ;EUR;156,75;0;; ; ;N;N
Beats Tour (2nd generation);S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Heartbeats (2nd generation);S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Powerbeats (1st generation);S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Powerbeats2;S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
